Entry	Entry name
O75251	NDUS7_HUMAN
O75306	NDUS2_HUMAN
O75312	ZPR1_HUMAN
O75323	NIPS2_HUMAN
O75340	PDCD6_HUMAN
O75347	TBCA_HUMAN
O75348	VATG1_HUMAN
O75351	VPS4B_HUMAN
O75367	H2AY_HUMAN
O75368	SH3L1_HUMAN
O75369	FLNB_HUMAN
O75376	NCOR1_HUMAN
O75380	NDUS6_HUMAN
O75390	CISY_HUMAN
O75391	SPAG7_HUMAN
O75396	SC22B_HUMAN
O75400	PR40A_HUMAN
O75410	TACC1_HUMAN
O75427	LRCH4_HUMAN
O75431	MTX2_HUMAN
O75436	VP26A_HUMAN
O75438	NDUB1_HUMAN
O75439	MPPB_HUMAN
O75448	MED24_HUMAN
O75475	PSIP1_HUMAN
O75477	ERLN1_HUMAN
O75489	NDUS3_HUMAN
O75494	SRS10_HUMAN
O75503	CLN5_HUMAN
O75521	ECI2_HUMAN
O75530	EED_HUMAN
O75531	BAF_HUMAN
O75533	SF3B1_HUMAN
O75534	CSDE1_HUMAN
O75569	PRKRA_HUMAN
O75592	MYCB2_HUMAN
O75607	NPM3_HUMAN
O75608	LYPA1_HUMAN
O75629	CREG1_HUMAN
O75643	U520_HUMAN
O75663	TIPRL_HUMAN
O75676	KS6A4_HUMAN
O75683	SURF6_HUMAN
O75688	PPM1B_HUMAN
O75691	UTP20_HUMAN
O75694	NU155_HUMAN
O75695	XRP2_HUMAN
O75746	CMC1_HUMAN
O75751	S22A3_HUMAN
O75781	PALM_HUMAN
O75791	GRAP2_HUMAN
O75792	RNH2A_HUMAN
O75821	EIF3G_HUMAN
O75822	EIF3J_HUMAN
O75828	CBR3_HUMAN
O75832	PSD10_HUMAN
O75843	AP1G2_HUMAN
O75844	FACE1_HUMAN
O75874	IDHC_HUMAN
O75880	SCO1_HUMAN
O75886	STAM2_HUMAN
O75907	DGAT1_HUMAN
O75915	PRAF3_HUMAN
O75923	DYSF_HUMAN
O75934	SPF27_HUMAN
O75935	DCTN3_HUMAN
O75937	DNJC8_HUMAN
O75940	SPF30_HUMAN
O75947	ATP5H_HUMAN
O75955	FLOT1_HUMAN
O75964	ATP5L_HUMAN
O75995	SASH3_HUMAN
O76003	GLRX3_HUMAN
O76021	RL1D1_HUMAN
O76024	WFS1_HUMAN
O76031	CLPX_HUMAN
O76070	SYUG_HUMAN
O76071	CIAO1_HUMAN
O76076	CCN5_HUMAN
O76094	SRP72_HUMAN
O94760	DDAH1_HUMAN
O94768	ST17B_HUMAN
O94776	MTA2_HUMAN
O94804	STK10_HUMAN
O94819	KBTBB_HUMAN
O94826	TOM70_HUMAN
O94832	MYO1D_HUMAN
O94855	SC24D_HUMAN
O94874	UFL1_HUMAN
O94875	SRBS2_HUMAN
O94886	CSCL1_HUMAN
O94887	FARP2_HUMAN
O94888	UBXN7_HUMAN
O94901	SUN1_HUMAN
O94903	PLPHP_HUMAN
O94905	ERLN2_HUMAN
O94906	PRP6_HUMAN
O94907	DKK1_HUMAN
O94915	FRYL_HUMAN
O94919	ENDD1_HUMAN
O94925	GLSK_HUMAN
O94953	KDM4B_HUMAN
O94956	SO2B1_HUMAN
O94973	AP2A2_HUMAN
O94979	SC31A_HUMAN
O94992	HEXI1_HUMAN
O95070	YIF1A_HUMAN
O95071	UBR5_HUMAN
O95104	SCAF4_HUMAN
O95139	NDUB6_HUMAN
O95140	MFN2_HUMAN
O95163	ELP1_HUMAN
O95167	NDUA3_HUMAN
O95168	NDUB4_HUMAN
O95169	NDUB8_HUMAN
O95182	NDUA7_HUMAN
O95183	VAMP5_HUMAN
O95197	RTN3_HUMAN
O95202	LETM1_HUMAN
O95218	ZRAB2_HUMAN
O95219	SNX4_HUMAN
O95232	LC7L3_HUMAN
O95236	APOL3_HUMAN
O95243	MBD4_HUMAN
O95248	MTMR5_HUMAN
O95249	GOSR1_HUMAN
O95251	KAT7_HUMAN
O95260	ATE1_HUMAN
O95292	VAPB_HUMAN
O95295	SNAPN_HUMAN
O95299	NDUAA_HUMAN
O95302	FKBP9_HUMAN
O95319	CELF2_HUMAN
O95336	6PGL_HUMAN
O95340	PAPS2_HUMAN
O95352	ATG7_HUMAN
O95372	LYPA2_HUMAN
O95373	IPO7_HUMAN
O95379	TFIP8_HUMAN
O95394	AGM1_HUMAN
O95396	MOCS3_HUMAN
O95399	UTS2_HUMAN
O95400	CD2B2_HUMAN
O95425	SVIL_HUMAN
O95428	PPN_HUMAN
O95433	AHSA1_HUMAN
O95445	APOM_HUMAN
O95453	PARN_HUMAN
O95456	PSMG1_HUMAN
O95466	FMNL1_HUMAN
O95470	SGPL1_HUMAN
O95479	G6PE_HUMAN
O95486	SC24A_HUMAN
O95487	SC24B_HUMAN
O95544	NADK_HUMAN
O95562	SFT2B_HUMAN
O95563	MPC2_HUMAN
O95571	ETHE1_HUMAN
O95573	ACSL3_HUMAN
O95613	PCNT_HUMAN
O95619	YETS4_HUMAN
O95630	STABP_HUMAN
O95639	CPSF4_HUMAN
O95644	NFAC1_HUMAN
O95671	ASML_HUMAN
O95674	CDS2_HUMAN
O95716	RAB3D_HUMAN
O95721	SNP29_HUMAN
O95747	OXSR1_HUMAN
O95749	GGPPS_HUMAN
O95758	PTBP3_HUMAN
O95760	IL33_HUMAN
O95777	LSM8_HUMAN
O95782	AP2A1_HUMAN
O95786	DDX58_HUMAN
O95793	STAU1_HUMAN
O95801	TTC4_HUMAN
O95810	CAVN2_HUMAN
O95816	BAG2_HUMAN
O95817	BAG3_HUMAN
O95825	QORL1_HUMAN
O95831	AIFM1_HUMAN
O95834	EMAL2_HUMAN
O95861	BPNT1_HUMAN
O95865	DDAH2_HUMAN
O95870	ABHGA_HUMAN
O95881	TXD12_HUMAN
O95926	SYF2_HUMAN
O95931	CBX7_HUMAN
O95967	FBLN4_HUMAN
O95983	MBD3_HUMAN
O95989	NUDT3_HUMAN
O95999	BCL10_HUMAN
O96000	NDUBA_HUMAN
O96005	CLPT1_HUMAN
O96008	TOM40_HUMAN
O96011	PX11B_HUMAN
O96019	ACL6A_HUMAN
O96033	MOC2A_HUMAN
P00156	CYB_HUMAN
P00167	CYB5_HUMAN
P00325	ADH1B_HUMAN
P00338	LDHA_HUMAN
P00350	6PGD_ECOLI
P00352	AL1A1_HUMAN
P00363	FRDA_ECOLI
P00367	DHE3_HUMAN
P00370	DHE4_ECOLI
P00387	NB5R3_HUMAN
P00390	GSHR_HUMAN
P00393	NDH_ECOLI
P00403	COX2_HUMAN
P00414	COX3_HUMAN
P00441	SODC_HUMAN
P00448	SODM_ECOLI
P00450	CERU_HUMAN
P00452	RIR1_ECOLI
P00488	F13A_HUMAN
P00490	PHSM_ECOLI
P00491	PNPH_HUMAN
P00492	HPRT_HUMAN
P00505	AATM_HUMAN
P00509	AAT_ECOLI
P00550	PTM3C_ECOLI
P00558	PGK1_HUMAN
P00568	KAD1_HUMAN
P00579	RPOD_ECOLI
P00734	THRB_HUMAN
P00736	C1R_HUMAN
P00738	HPT_HUMAN
P00740	FA9_HUMAN
